"CodUrl","CodProg","Url","CodTipoUrl","Extra","codTipoSo","Status","DataChecagem","StatusGoogle","DataChecagemUrlQuebrada"
38412,2962,http://www.pa-soft.com/download/securdat.exe,1,"",,Erro,2021-01-05 22:05:59,"",
38422,2948,http://www.soft-trade.com/software/1/155/287/ArcadeSetup.exe,1,"",,Erro,2021-01-05 22:05:59,"",
38423,2947,http://pcdoorsguard.hypermart.net/pdg2.zip,1,"",,Erro,2021-01-05 22:05:59,"",
38424,2946,http://www.soft-trade.com/software/1/166/340/smatchr5st.exe,1,"",,Erro,2021-01-05 22:05:59,"",
38428,2941,http://nvidia.com/Pages.nsf/Lookup/enchilada/$file/enchilada.mpg,1,"",,Erro,2021-01-05 22:05:59,"",
38453,2902,http://www.tramposite.com.br/prg/trampolite.zip,1,"",,Erro,2021-01-05 22:05:59,"",
38462,2883,http://www.ohmikron.com/downloads/setupdoctool.exe,1,"",,Erro,2021-01-05 22:05:59,"",
38463,2882,http://www.sdisw.com/sdi/tn3270/download/Tneval32.EXE,1,"",,Erro,2021-01-05 22:05:59,"",2020-09-16
38466,2878,http://www.footballpics.info/other/fun/BSBGAY.swf,1,"",,Erro,2021-01-05 22:05:59,"",
38479,2862,http://www.cdcopy.sk/dl/Kj34fs45ihd/cdcopy_setup.exe,1,"",,Erro,2021-01-05 22:05:59,"",
38501,2825,http://www.argostec.com.br/argos.zip,1,"",,Erro,2021-01-05 22:05:59,"",
38503,2817,http://www.schlabo.com/download/2.01/ss_201_pdsc.zip,1,"",,Erro,2021-01-05 22:05:59,"",2019-04-05
38505,2813,http://www.digiportal.com/files/download/ov/2.0/ovpro20npt.exe,1,"",,Erro,2021-01-05 22:05:59,"",
38524,2787,http://www.createinstall.com/ci/ci4.exe,1,"",,Erro,2021-01-05 22:05:59,"",
38538,2762,http://webfavorites.com/System/plugin/wf208.exe,1,"",,Erro,2021-01-05 22:05:59,"",
38558,2732,http://www.denglad.com/software/aexpr.zip,1,"",,Erro,2021-01-05 22:05:58,"",
38561,2729,http://www.quadsucker.com/quadweb/qdweb33.exe,1,"",,Erro,2021-01-05 22:05:58,"",
38562,2729,http://www.quadsucker.com/quadweb/qdweb33.zip,1,"",,Erro,2021-01-05 22:05:58,"",
38583,2702,http://www.2haveit.com/delcache/win95/DelCache.exe,1,"",,Erro,2021-01-05 22:05:58,"",
38590,2693,http://www.b-zone.de/zips/splitz.zip,1,"",,Erro,2021-01-05 22:05:58,"",2018-10-04
38593,2690,http://www.driveway.com/share?sid=8d0733de.c8446&name=games&view=0,1,"",,Erro,2021-01-05 22:05:58,"",
38599,2681,http://www.rkssoftware.com/vbc3.exe,1,"",,Erro,2021-01-05 22:05:58,"",
